-- SG    KRG    KROG   PCOG
SGOF
0.68775510 0.52775317 0.10210764 0.08281239
0.69693878 0.54017057 0.09487910 0.08486421
0.70612245 0.55268387 0.08782967 0.08707650
0.71530612 0.56529233 0.08096404 0.08947136
0.72448980 0.57799523 0.07428726 0.09207533
0.73367347 0.59079189 0.06780483 0.09492076
0.74285714 0.60368161 0.06152276 0.09804741
0.75204082 0.61666374 0.05544765 0.10150490
0.76122449 0.62973761 0.04958683 0.10535600
0.77040816 0.64290259 0.04394842 0.10968156
0.77959184 0.65615806 0.03854158 0.11458776
0.78877551 0.66950339 0.03337668 0.12021731
0.79795918 0.68293799 0.02846564 0.12676745
0.80714286 0.69646128 0.02382233 0.13451994
0.81632653 0.71007266 0.01946318 0.14389426
0.82551020 0.72377158 0.01540809 0.15554825
0.83469388 0.73755747 0.01168184 0.17058635
0.84387755 0.75142980 0.00831652 0.19104431
0.85306122 0.76538803 0.00535603 0.22122478
0.86224490 0.77943163 0.00286590 0.27249659
0.87142857 0.79356009 0.00096129 0.39218949
0.88061224 0.80777289 0.00000000 300.00000000
0.88979592 0.82206955 0.00000000 300.00000000
0.89897959 0.83644958 0.00000000 300.00000000
0.90816327 0.85091248 0.00000000 300.00000000
0.91734694 0.86545780 0.00000000 300.00000000
0.92653061 0.88008506 0.00000000 300.00000000
0.93571429 0.89479382 0.00000000 300.00000000
0.94489796 0.90958361 0.00000000 300.00000000
0.95408163 0.92445401 0.00000000 300.00000000
0.96326531 0.93940457 0.00000000 300.00000000
0.97244898 0.95443486 0.00000000 300.00000000
0.98163265 0.96954448 0.00000000 300.00000000
0.99081633 0.98473299 0.00000000 300.00000000
1.00000000 1.00000000 0.00000000 300.00000000
/
0.00000000 0.00000000 1.00000000 0.03060000
0.10000000 0.00000000 0.83448377 0.03250240
0.10918367 0.00103077 0.81978950 0.03269545
0.11836735 0.00291545 0.80518249 0.03289198
0.12755102 0.00535603 0.79066330 0.03309209
0.13673469 0.00824614 0.77623243 0.03329591
0.14591837 0.01152434 0.76189045 0.03350353
0.15510204 0.01514913 0.74763790 0.03371509
0.16428571 0.01909009 0.73347535 0.03393071
0.17346939 0.02332362 0.71940337 0.03415052
0.18265306 0.02783073 0.70542255 0.03437465
0.19183673 0.03259574 0.69153350 0.03460326
0.20102041 0.03760537 0.67773681 0.03483649
0.21020408 0.04284822 0.66403311 0.03507450
0.21938776 0.04831432 0.65042305 0.03531746
